time,geo,age,sex\nat,BE,FO
1992,BruCap,7,M,3237,2244
1992,BruCap,7,F,3051,2176
1992,BruCap,8,M,3091,2244
1992,BruCap,8,F,3044,2059
1992,BruCap,9,M,3121,2320
1992,BruCap,9,F,2957,2258
1992,BruCap,10,M,3222,2447
1992,BruCap,10,F,3058,2289
1992,BruCap,11,M,3183,2352
1992,BruCap,11,F,3082,2317
1992,BruCap,12,M,3099,2392
1992,BruCap,12,F,2943,2224
1992,BruCap,13,M,2967,2283
1992,BruCap,13,F,2998,2273
1992,BruCap,14,M,2941,2258
1992,BruCap,14,F,2919,2190
1992,BruCap,15,M,2933,2210
1992,BruCap,15,F,2897,2131
1992,BruCap,16,M,3043,2133
1992,BruCap,16,F,2957,1969
1992,BruCap,17,M,3002,2222
1992,BruCap,17,F,2955,2042
1992,BruCap,18,M,3295,2224
1992,BruCap,18,F,3279,2200
1992,BruCap,19,M,3520,2372
1992,BruCap,19,F,3499,2371
1992,BruCap,20,M,3825,2401
1992,BruCap,20,F,3795,2490
1992,BruCap,21,M,3968,2611
1992,BruCap,21,F,4082,2471
1992,BruCap,22,M,4039,2655
1992,BruCap,22,F,4204,2600
1992,BruCap,23,M,4374,2701
1992,BruCap,23,F,4513,2600
1992,BruCap,24,M,4648,2685
1992,BruCap,24,F,4986,2647
1992,BruCap,25,M,4826,3016
1992,BruCap,25,F,5229,2898
1992,BruCap,26,M,5140,3141
1992,BruCap,26,F,5376,2983
1992,BruCap,27,M,5317,3177
1992,BruCap,27,F,5559,3016
1992,BruCap,28,M,5267,3083
1992,BruCap,28,F,5327,2847
1992,BruCap,29,M,4951,3173
1992,BruCap,29,F,5084,2878
1992,BruCap,30,M,4828,3095
1992,BruCap,30,F,5190,2846
1992,BruCap,31,M,4817,3099
1992,BruCap,31,F,5113,2883
1992,BruCap,32,M,4887,2861
1992,BruCap,32,F,4912,2666
1992,BruCap,33,M,4561,2868
1992,BruCap,33,F,4954,2558
1992,BruCap,34,M,4575,2638
1992,BruCap,34,F,4786,2390
1992,BruCap,35,M,4350,2712
1992,BruCap,35,F,4741,2409
1992,BruCap,36,M,4353,2607
1992,BruCap,36,F,4636,2292
1992,BruCap,37,M,4373,2394
1992,BruCap,37,F,4563,2172
1992,BruCap,38,M,4355,2365
1992,BruCap,38,F,4694,2067
1992,BruCap,39,M,4252,2381
1992,BruCap,39,F,4669,2072
1992,BruCap,40,M,4174,2076
